surviving,duplicates
balow-jillian,"balow,jillian-balow-r"
biteman-bo,biteman
gray-chuck,chuck-grey
barlow-eric,barlow
racines-kristi,kristi-racine
driskill-ogden,"driskill-ogden-2,ogden-driskill,ogden-driskill-r-devils-tower"
ide-bob,"bob-ide,ide"
brennan-evie,brennan-evie-2
singh-daniel,singh-daniel-2
haroldson-jeremy,"haroldson-jeremy-2,jeremy-haroldson-2"
strock-tomi,strock-tomi-2
willox-jim,willox-jim-2
nicholas-bob,"bob-ncholas,bob-nicholas-2,rep-bob-nicholas-r-cheyenne"
johnson-steve,johnson-steve-2
reiner-luke,"luke-reiner,reiner-luke-2"
chestek-ken,"chestek,ken-chestek"
yin-mike,mike-yin
heiner-scott,heiner-scott-2
roberts-kenneth,roberts-kenneth-2
mcginnis-matt,mcginnis-matt-2
sommers-albert,"albert-sommers-2,albert-summers,rep-albert-sommers-r-pinedale,sommers,sommers-albert-2"
winney-bill,bill-winney
storer-liz,liz-storer
jennings-mark,mark-jennings
bear-john,"bear-john-2,john-bear-3"
posey-ivan,"ivan-posey-2,posey-ivan-2"
ottman-pepper,"ottman-pepper-2,pepper-ottman-2"
dresang-christopher,dresang-christopher-2
locke-tony,locke-tony-2
washut-art,art-washut-2
lien-jayme,jayme-lien-2
wylie-cody,cody-wylie-2
brown-gary,gary-brown-2
crowder-jessica,"crowder-jessica-2,jessica-crowder"
lucas-ann,"ann-lucas-3,ann-lucas-2,lucas-ann-2"
filer-lee,"lee-filer-2,rep-lee-filer-d-cheyenne"
provenza-karlee,karlee-provenza-2
wright-cam,cameron-wright
mccann-darin,darrin-mccann
fortner-bill,bill-fortner
knapp-christopher,christopher-knapp-2
larsen-lloyd,"loyd-larsen,rep-lloyd-larsen-r-lander"
jarvis-julie,jarvis-julie-2
ward-jeanette,"jeanette-ward-3,ward-jeanette-2"
allemand-bill,allemand-bill-2
boyer-peter,boyer-peter-2
longtine-laurie,laurie-longtine
